Lucius Cassius the brother,285
Lucius Cassius the conspirator,286
Lucius Cassius the consul,287
Lucius Cassius the nephew,288
Lucius Cassius the theater builder,289
Lucius Cluentius,290
Lucius Cocceius,291
Lucius Domitius,292
Lucius Domitius Ahenobarbus,293
Lucius Gellius,294
Lucius Julius Caesar the consul,295
Lucius Junius Brutus,296
Lucius Libo,297
Lucius Manlius,298
Lucius Merula,299
Lucius Metellus,300
Lucius Opimius,301
Lucius Philippus,302
Lucius Piso,303
Lucius Porcius,304
Lucius Postumus,305
Lucius Roscius,306
Lucius Scipio,307
Lucius Scipio the Younger,308
Lucius Varus,309
Lucretius,310
Lucullus,311
Machares,312
Maecenas,313
Manius,314
Manius Aquilius,315
Marcellus,316
Marcia,317
Marcia the Vestal,318
Marcius,319
Marcius Crispus,320
Marcus Antonius,321
Marcus Antonius the orator,322
Marcus Antonius Creticus,323
Marcus Aquilius Crassus,324
Marcus Aurelius Cotta,325
Marcus Aurelius Scaurus,326
Marcus Baebius,327
Marcus Brutus,328
Marcus Cicero,329
Marcus Claudius Marcellus,330
Marcius Coriolanus,331
Marcus Crassus,332
Marcus Domitius,333
Marcus Gallius,334
Marcus Junius Silanus,335
Marcus Laetorius,336
Marcus Lamponius,337
Marcus Lepidus,338
Marcus Lucullus,339
Gaius Piso,340
Marcus Messala Corvinus,341
Marcus Minucius,342
Marcus Octavius,343
Marcus Perpenna,344
Marcus Spurius,345
Marcus Tullius,346
Marcus Lollius,347
Marius Egnatius,348
Marsus,349
Carisius,350
Massiva,351
Megabates,352
Memmius,353
Memmius the candidate,354
Menecrates,355
Menenius,356
Menodorus,357
Metellus Balearicus,358
Metellus Celer,359
Metellus Creticus,360
Metellus Numidicus,361
Metellus Pius,362
Metellus Scipio,363
Metellus the proscript,364
Metellus the tribune,365
Micipsa,366
Micylio,367
Milo,368
Mindius Marcellus,369
Minucius,370
Minucius Basilus,371
Mithradates II,372
Mithridates,373
Mnaseas,374
Mucia,375
Mucius Scaevola the pontifex maximus,376
Mummius Achaicus,377
Munatius Plancus,378
Murcus,379
Mutilus,380
Nasidius,381
Casca,382
Nicomedes,383
Nonius,384
Nonius the centurion,385
Norbanus,386
Norbanus the lieutenant,387
Octavia,388
Octavius,389
Octavius the father,390
Oenomaus,391
Ofella,392
Ofillius,393
Oppius,394
Oxynta,395
Pansa,396
Papias,397
Papirius,398
Parmesius,399
Patiscus,400
Pedius,401
Peithagoras,402
Perpenna,403
Perpenna of asia,404
Petreius,405
Petronius,406
Pharnaces,407
Philemon,408
Philip,409
Philippus,410
Phraates III,411
Phraates IV,412
Pinarius,413
Pindarus,414
Plato,415
Plautius,416
Plenius,417
Plautius,418
Polemocratia,419
Polemon,420
Pompeius,421
Pompeius Bithynicus,422
Pompey,423
Pompey Strabo,424
Pomponius,425
Pontius Aquila,426
Pontius Telesinus,427
Popilius Laena,428
Popillius,429
Poppaedius Silo,430
Porcia,431
Porcius Cato,432
Postumius,433
Pothinus,434
Ptolemy Apion,435
Ptolemy I,436
Ptolemy Philadelphus,437
Ptolemy VIII Euergetes,438
Ptolemy XII Auletes,439
Ptolemy XIII,440
Publicius Malleolus,441
Publicola,442
Publius,443
Publius Albinovanus,444
Publius Antistius,445
Publius Cethegus,446
Publius Crassus,447
Publius Furius,448
Publius Isauricus,449
Publius Lentulus,450
Publius Lentulus of Corfinium,451
Publius Licinius Crassus,452
Publius Presentaeus,453
Publius Rupilius,454
Publius Sulla,455
Publius Titius,456
Publius Valerius,457
Publius Ventidius Bassus,458
Vettius,459
Quinctius,460
Quintus Ancharius,461
Quintus Antonius,462
Quintus Arrius,463
Quintus Cassius,464
Quintus Catulus Capitolinus,465
Quintus Cicero,466
Quintus Curius,467
Quintus Decius,468
Quintus Fabius Maximus Allobrogicus,469
Quintus Flaccus,470
Quintus Gallius,471
Quintus Granius,472
Quintus Ligarius,473
Quintus Marcius Rex,474
Quintus Metellus,475
Quintus Mummius,476
Quintus Oppius,477
Quintus Pompeius,478
Quintus Pompeius,479
Quintus Popaedius,480
Quintus Servilius,481
Quintus Valerius,482
Quintus Varius,483
Quintus the betrayer,484
Rebilus,485
Restio,486
Rhascupolis,487
Rhascus,488
Rheginus,489
Roscius,490
Rubrius,491
Rubrius Ruga,492
Rufus,493
Rufus,494
Rutilius,495
Rutilius Rufus,496
Saburra,497
Salassus,498
Salinator,499
Sallust,500
Salvidienus,501
Salvius,502
Saturninus,503
Saturninus,504
Saufeius,505
Scaeva,506
Scapula,507
Scaurus,508
Scipio Aemilianus,509
Scipio Africanus,510
Scipio Nasica,511
Scribonia,512
Seleucus I,513
Seleucus V,514
Sempronia,515
Septimius,516
Serapio,517
Sergius,518
Sertorius,519
Servilia,520
Servilius,521
Servilius Caepio,522
Servilius Galba,523
Servilius Isauricus,524
Servius Galba,525
Servius Tullius,526
Servius Sulpicius Rufus,527
Sextilius,528
Sextius,529
Sextius Naso,530
Gaius Octavius,531
Sextus Licinius,532
Sextus Peducaeus,533
Sextus Caesar,534
Sextus Julius Caesar,535
Silanus,536
Sisina,537
Sextus Pompey,538
Sittius,539
Sittius the proscript,540
Sosius,541
Spartacus,542
Spurius Thorius,543
Statilius,544
Statius,545
Straberius,546
Strato,547
Apuleius the tribune,548
Sulla,549
Sulpicius,550
Surena,551
Tarquinius Superbus,552
Taurus,553
Taxiles,554
Telesinus,555
Terentius Varro,556
Theodorus,557
Theodotus,558
Thermus,559
Thoranius,560
Thucydides,561
Thuranius,562
Tiberius,563
Tiberius Gracchus,564
Tigranes,565
Tigranes the younger,566
Tillius Cimber,567
Tisienus,568
Titinius,569
Titurius,570
Titus Annius,571
Titus Didius,572
Titus Lafrenius,573
Titus Sextius,574
Titus Quinctius Flaminius,575
Torquatus,576
Toutomotulus,577
Trebatius,578
Trebonius,579
Tuditanus,580
Turulius,581
Valerius Antias,582
Valerius Flaccus,583
Valerius Flaccus,584
Valerius Messala,585
Varinius,586
Flamma,587
Marcellus,588
Varus,589
Varus the proscript,590
Vatinius,591
Ventidius,592
Vercingetorix,593
Vercondaridubnus,594
Vettius,595
Vettius Scaton,596
Vetulinus,597
Vinius,598
Virginius,599
Volusius,600
Vulturcius,601
Marius,602
Titius,603
Clodia,604
Catiline,605
Cassius,606
Cicero,607
Chumstinctus,608
Attalus,609
Pylaemenes,610
Ariarathes V,611
Gaius Sextius Calvinus,612
Caius Cassius Longinus,613
Marcus Porcius Cato,614
Cotta,615
Lucius Aurelius Cotta,616
Gnaeus Papirius Carbo,617
Gaius Caecilius Metellus Caprarius,618
Marcus Caecilius Metellus,619
Spurius Albinus Postumius,620
Another Servilius Caepio,621
Mallius,622
Archelaus of Cappadocia,623
Diogenes,624
Scipio Asiaticus,625
Marcus Aurelius Cotta,626
Cnaeus Aufidius Orestes,627
Oroeses,628
Orodes,629
Artoces,630
Aristarchus,631
Murena,632
Aristobulus,633
Pacorus,634
Cnaeus Cornelius Gallus,635
Marcus Lollius,636
Caligula,637
Claudius,638
Cnaeus Sentius,639
Aulus Plautius,640
Britannicus,641
Nero,642
Polemon,643
Cottius,644
Agis,645
Cleomenes,646
Cornelia,647
Scipio Sallustio,648
Gaius Mancinus,649
Gaius Laelius,650
Laelius,651
Gaius Villius,652
Gaius Veturius,653
Gaius Fannius,654
Crastinus,655
Trebonius,656
Gaius Lusius,657
Cleon,658
Licinius,659
Antistia,660
Claudia,661
Diophanes,662
Blossius,663
Antipater of Tarsus,664
Claudius Glaber,665
Mucius Scaevola the augur,666
Manlius,667
Eudemus of Pergamum,668
Metellus Macedonicus,669
Mucius,670
Publius Satyreius,671
Lucius Rufus,672
Homer,673
Sophocles,674
Licinia,675
Cornelius Nepos,676
Another Crassus,677
Genucius,678
Popillius,679
Rubrius,680
Septimuleius,681
Quintus Antyllius,682
Pomponius,683
Philocrates,684
Marcus Marius,685
Poseidonius,686
Xenocrates,687
Marius the father,688
Fulcinia,689
Cassius Sabaco,690
Gaius Herennius,691
Julia the aunt,692
Turpillius,693
Martha,694
Alexander of Myndus,695
Bataces,696
Aulus Pompeius,697
Archilochus,698
Pindar,699
Publius Silo,700
Neoptolemus,701
Mucius,702
Geminius,703
Musaeus,704
Fannia,705
Titinnius,706
Belaeus,707
Iampsas,708
Rufinus,709
Metrobius,710
Nicopolis,711
Copillus,712
Gordius,713
Orobazus,714
Arsaces,715
Timotheus,716
Conon,717
Metella,718
Livy,719
Ilia,720
Aelia,721
Cloelia,722
Ariarathes,723
Bruttius Sura,724
Aristion,725
Caphis,726
Marcus Ateius,727
Meidias,728
Calliphon,729
Philo,730
Hortensius,731
Gabinius,732
Bocchus,733
Ericius,734
Salvenius,735
Quintus Titius,736
Galba,737
Homoloichus,738
Anaxidamus,739
Dorylaus,740
Archelaus the merchant,741
Aristotle,742
Theophrastus,743
Apellicon the Teian,744
Tyrannio the grammarian,745
Andronicus the Rhodian,746
Neleus of Scepsis,747
Fenestella,748
Torquatus,749
Quintus Aurelius,750
Marcus Marius Gratidianus,751
Aemilia,752
Scaurus,753
Manius Glabrio,754
Fausta,755
Valeria,756
Roscius,757
Sorex,758
Acastus,759
Pelias,760
Alcman,761
Pherecydes,762
Callisthenes,763
Eunus,764
Postuma,765
Granius,766
Titus Quinctius Flaminius,767
Manius Acilius,768
Pontius Aquila,769
Servilius,770
Balbus,771
Gaius Metellus,772
Fufidius,773
