Source,Target,Weight
Caesar,Silanus,2
Antony,Calenus,15
Augustus,Calenus,6
Cato,Hortensius,7
Cicero,Hortensius,5
Caesar,Tillius Cimber,6
Trebonius,Tillius Cimber,4
Cassius,Tillius Cimber,4
Brutus,Tillius Cimber,4
Decimus Brutus,Tillius Cimber,3
Casca,Tillius Cimber,2
Cicero,Tillius Cimber,2
Sextus Pompey,Titius,12
Antony,Titius,7
Furnius,Titius,2
Tiberius Gracchus,Cornelia Gracchi,7
Scipio Aemilianus,Cornelia Gracchi,4
Gaius Gracchus,Cornelia Gracchi,4
Catiline,Gaius Manlius,3
Lentulus Sura,Gaius Manlius,2
Sulla,Lucius Scipio,7
Norbanus,Lucius Scipio,4
Marius,Marcus Antonius the orator,4
Mithridates,Marcus Lucullus,5
Sulla,Marcus Lucullus,4
Antonius Hybrida,Marcus Lucullus,2
Pompey,Marcus Lucullus,2
Menodorus,Menecrates,9
Gaius Calvisius,Menecrates,5
Sextus Pompey,Menecrates,4
Augustus,Menecrates,2
Sulla,Metella,5
Pompey,Metella,3
Cato,Ptolemy XII Auletes,4
Gabinius,Ptolemy XII Auletes,3
Pompey,Ptolemy XII Auletes,2
Caesar,Ptolemy XII Auletes,2
Antony,Ptolemy XII Auletes,2
Marius,Rutilius,5
Gaius Marius,Rutilius,3
Perpenna,Rutilius,2
Juba,Varus,8
Caesar,Varus,7
Metellus Scipio,Varus,7
Pompey,Varus,5
Cato,Varus,4
Curio,Varus,3
